2024-02-26 00:23:31,711 INFO    StreamThr :1261548 [internal.py:wandb_internal():86] W&B internal server running at pid: 1261548, started at: 2024-02-26 00:23:31.710793
2024-02-26 00:23:31,712 DEBUG   HandlerThread:1261548 [handler.py:handle_request():146] handle_request: status
2024-02-26 00:23:31,714 INFO    WriterThread:1261548 [datastore.py:open_for_write():87] open: /home/poscoict/Desktop/samseg3d_final/wandb/run-20240226_002331-rztdyy0j/run-rztdyy0j.wandb
2024-02-26 00:23:31,715 DEBUG   SenderThread:1261548 [sender.py:send():382] send: header
2024-02-26 00:23:31,715 DEBUG   SenderThread:1261548 [sender.py:send():382] send: run
2024-02-26 00:23:32,159 ERROR   SenderThread:1261548 [internal_api.py:execute():373] 500 response executing GraphQL.
2024-02-26 00:23:32,159 ERROR   SenderThread:1261548 [internal_api.py:execute():374] {"errors":[{"message":"An internal error occurred. Please contact support.","path":["upsertBucket"]}],"data":{"upsertBucket":null}}
2024-02-26 00:23:33,622 INFO    SenderThread:1261548 [dir_watcher.py:__init__():211] watching files in: /home/poscoict/Desktop/samseg3d_final/wandb/run-20240226_002331-rztdyy0j/files
2024-02-26 00:23:33,622 INFO    SenderThread:1261548 [sender.py:_start_run_threads():1136] run started: rztdyy0j with start time 1708874611.710694
2024-02-26 00:23:33,633 DEBUG   HandlerThread:1261548 [handler.py:handle_request():146] handle_request: check_version
2024-02-26 00:23:33,634 DEBUG   SenderThread:1261548 [sender.py:send_request():409] send_request: check_version
2024-02-26 00:23:33,689 DEBUG   HandlerThread:1261548 [handler.py:handle_request():146] handle_request: run_start
2024-02-26 00:23:33,696 DEBUG   HandlerThread:1261548 [system_info.py:__init__():27] System info init
2024-02-26 00:23:33,696 DEBUG   HandlerThread:1261548 [system_info.py:__init__():42] System info init done
2024-02-26 00:23:33,696 INFO    HandlerThread:1261548 [system_monitor.py:start():194] Starting system monitor
2024-02-26 00:23:33,696 INFO    SystemMonitor:1261548 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-02-26 00:23:33,696 INFO    HandlerThread:1261548 [system_monitor.py:probe():214] Collecting system info
2024-02-26 00:23:33,696 INFO    SystemMonitor:1261548 [interfaces.py:start():190] Started cpu monitoring
2024-02-26 00:23:33,697 INFO    SystemMonitor:1261548 [interfaces.py:start():190] Started disk monitoring
2024-02-26 00:23:33,697 INFO    SystemMonitor:1261548 [interfaces.py:start():190] Started gpu monitoring
2024-02-26 00:23:33,699 INFO    SystemMonitor:1261548 [interfaces.py:start():190] Started memory monitoring
2024-02-26 00:23:33,700 INFO    SystemMonitor:1261548 [interfaces.py:start():190] Started network monitoring
2024-02-26 00:23:33,746 DEBUG   HandlerThread:1261548 [system_info.py:probe():151] Probing system
2024-02-26 00:23:33,752 DEBUG   HandlerThread:1261548 [gitlib.py:_init_repo():56] git repository is invalid
2024-02-26 00:23:33,752 DEBUG   HandlerThread:1261548 [system_info.py:probe():199] Probing system done
